Cluster,Life_expectancy,Physician,Junior_col,University,Public_Hosp,Pshic_hosp,Beds_psic,Nurses,Avg_hours,Salary,Elementary_school,Sport_fac,Park,Forest,Income_per capita,Density_pop,Hospitals,Beds,Ambulances,Health_exp,Educ_exp,Welfare_exp,PC1,PC2
0,84.41818181818181,289.1909090909091,13.281818181818181,15.654545454545454,16.0,1.8363636363636362,487.50909090909096,1456.7545454545455,175.1818181818182,273.95454545454544,16.027272727272727,571.4090909090909,13.127272727272727,67.62727272727273,2734.090909090909,620.4,10.927272727272728,1474.290909090909,7.336363636363637,3.4763636363636365,20.684545454545454,15.635454545454547,-3.114883308310934,1.8894968139158543
1,84.71076923076923,254.89615384615385,14.211538461538462,21.45384615384615,18.611538461538462,0.7769230769230769,245.0153846153846,981.9884615384616,173.55769230769232,306.53653846153844,12.011538461538462,407.8576923076923,20.326923076923077,55.38076923076923,3189.576923076923,1989.65,5.4423076923076925,983.7730769230768,5.276923076923077,3.163846153846154,22.520384615384614,16.994615384615386,2.206880051930981,-0.006190602289191822
2,84.163,247.92,12.49,14.52,33.95,1.2,320.65,1115.77,173.45,268.495,17.77,704.14,12.940000000000001,71.05,2817.6,496.18999999999994,6.14,1135.35,8.25,3.7399999999999998,18.853,13.669,-2.3115164958785224,-2.0623509293555413
