Life_expectancy,Physician,Junior_col,University,Public_Hosp,Pshic_hosp,Beds_psic,Nurses,Avg_hours,Salary,Elementary_school,Sport_fac,Park,Forest,Income_per capita,Density_pop,Hospitals,Beds,Ambulances,Health_exp,Educ_exp,Welfare_exp,PC1,PC2,Cluster
85.46,243.8,16.9,18.1,24.3,0.7,226.1,1040.6,171.0,291.5,12.3,954.2,20.5,75.3,3010.0,630.4,5.4,1010.2,7.1,2.61,25.09,15.48,1.0048581702251955,-0.9679245666405104,1
84.2,307.8,12.9,16.3,21.3,0.9,222.0,1171.8,175.0,289.55,16.0,469.1,12.6,76.2,2913.0,821.3,8.1,1227.2,9.1,2.33,19.84,14.37,-1.3847800418932503,0.119925567905804,2
83.71,205.7,11.6,13.1,20.6,1.3,339.8,994.7,173.0,275.9,16.9,737.8,13.0,68.0,2943.0,433.3,5.6,1033.2,7.4,3.09,17.63,18.81,-1.41402321110465,-1.848993152920279,2
84.38,177.8,15.1,23.9,7.4,0.6,187.5,704.0,174.0,310.35,10.3,225.0,32.8,31.4,3047.0,2821.6,4.0,713.5,3.9,3.08,27.53,20.49,5.174909800607919,-0.4874270980627141,1
83.79,242.6,11.3,11.9,34.0,1.7,404.6,1105.5,173.0,257.3,19.0,877.2,10.6,70.3,2697.0,296.8,5.2,1168.5,9.0,3.24,17.93,13.5,-3.661092393700876,-2.4596386888479347,2
85.1,320.1,13.9,20.4,16.6,0.8,279.2,1200.5,175.0,290.55,11.4,441.7,11.3,68.1,2769.0,847.5,7.7,1199.9,6.4,2.17,20.93,16.41,0.2037418510902204,1.7284381988004878,1
85.18,277.1,15.2,26.3,21.1,0.3,218.0,936.8,173.0,308.2,9.7,360.9,17.2,76.9,2632.0,1551.1,5.4,1122.0,6.2,4.06,24.66,17.52,2.3528994058580848,0.210516155518581,1
84.28,260.1,13.5,16.9,19.3,2.1,435.5,1404.1,174.0,292.1,12.5,535.4,7.0,71.4,3199.0,782.5,8.5,1430.5,6.9,3.21,23.56,15.21,-1.8265826480120275,1.3588420400329615,0
85.06,291.6,14.7,19.8,28.2,1.1,325.9,1199.3,174.0,293.9,14.8,725.8,12.6,66.3,3023.0,812.1,6.9,1221.1,5.7,2.51,20.12,13.93,-0.4807538927935259,0.4098899426439237,1
84.91,287.1,13.5,15.9,10.2,2.2,466.1,1449.5,176.0,274.3,12.8,510.9,27.6,70.8,2714.0,626.1,11.4,1297.8,6.7,2.58,21.21,15.15,-2.22432478792996,2.671037570612217,0
